,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
u1,1,0.228,0.237,0.221,0.222,0.527,0.453,0.566,0.386,0.649
u2,2,0.262,0.273,0.251,0.254,0.427,0.652,0.642,0.439,0.72
u3,3,0.366,0.376,0.357,0.358,0.115,0.649,0.98,0.642,1.213
u4,2,0.226,0.233,0.22,0.219,0.344,0.765,0.793,0.371,0.552
u5,1,0.227,0.233,0.22,0.221,0.366,0.836,0.863,0.372,0.619
u6,3,0.251,0.257,0.261,0.239,0.254,0.896,0.92,0.421,0.86
u7,2,0.245,0.254,0.237,0.236,0.257,0.891,0.919,0.43,3.82
u8,1,0.247,0.257,0.243,0.266,0.336,0.598,0.921,0.424,1.856
u9,2,0.212,0.217,0.207,0.2,0.438,0.455,0.716,0.376,0.643
u10,1,0.207,0.221,0.2,0.199,0.389,0.598,0.626,0.34,0.492
